eta,budget,cost_per_base,R_max,bases,covered_points,risk_coverage_percent,runtime_seconds,objective,solution_ids
0.6,850000,80000,1253.360588329586,10,210,31.580565805658058,0.09915399551391602,1027.0,"59,95,166,203,263,308,459,503,584,629"
0.65,850000,80000,1304.5390608982839,10,210,31.580565805658058,0.09905815124511719,1027.0,"59,95,166,203,263,308,459,503,584,629"
0.7,850000,80000,1353.7841624279947,10,210,31.580565805658058,0.10195422172546387,1027.0,"59,95,166,203,263,308,459,503,584,629"
0.75,850000,80000,1401.299737912042,10,210,31.580565805658058,0.0970304012298584,1027.0,"59,95,166,203,263,308,459,503,584,629"
0.8,850000,80000,1447.2561461275084,10,250,37.14637146371464,0.11054348945617676,1208.0,"59,95,165,203,287,332,459,478,583,603"
0.85,850000,80000,1491.7974894520162,10,250,37.14637146371464,0.10849833488464355,1208.0,"59,95,165,203,287,332,459,478,583,603"
0.9,850000,80000,1535.0469525610051,10,286,41.789667896678964,0.3217437267303467,1359.0,"72,83,142,203,264,283,434,453,585,604"
0.95,850000,80000,1577.1108215969857,10,286,41.789667896678964,0.3209264278411865,1359.0,"72,83,142,203,264,283,434,453,585,604"
1.0,850000,80000,1618.081561797739,10,367,51.7220172201722,0.3307056427001953,1682.0,"83,94,204,215,247,309,392,430,535,604"
