budget,bases,covered_points,risk_coverage_percent,covered_very_high_risk_points,total_very_high_risk_points,very_high_risk_coverage_percent,all_very_high_risk_covered,uncovered_very_high_risk_ids
1500000,18,445,62.57687576875769,303,371,81.6711590296496,False,"12,13,51,114,115,126,129,146,277,278,280,305,316,317,318,342,343,344,355,381,382,388,390,398,406,415,424,425,431,450,462,463,472,474,475,487,497,506,520,521,522,648,656,660,663,674,675,681,682,699,700,725,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825"
1550000,19,469,65.59040590405904,311,371,83.82749326145553,False,"12,13,51,114,115,126,129,146,316,317,318,342,343,344,381,382,388,390,398,406,415,424,425,431,450,462,463,472,474,475,487,497,506,520,521,522,648,656,660,663,674,675,681,682,699,700,725,749,750,774,776,777,784,788,799,800,801,802,813,825"
1600000,20,494,68.51168511685117,318,371,85.71428571428571,False,"12,13,51,114,115,126,129,146,316,317,318,342,343,344,381,382,388,390,398,415,424,425,450,472,474,475,497,520,521,522,648,656,660,674,675,681,682,699,700,725,749,750,774,776,777,784,788,799,800,801,802,813,825"
1650000,20,493,68.51168511685117,319,371,85.98382749326146,False,"12,13,51,114,115,126,129,146,316,317,318,342,343,344,381,382,398,424,425,450,472,474,475,497,511,520,521,522,648,656,660,663,674,675,681,682,699,700,725,749,750,774,776,777,784,788,799,800,801,802,813,825"
1700000,21,518,71.27921279212792,328,371,88.40970350404312,False,"12,13,51,114,115,126,129,146,316,317,318,342,343,344,381,382,398,511,520,648,656,660,663,674,675,681,682,699,700,725,749,750,774,776,777,784,788,799,800,801,802,813,825"
1750000,21,519,71.27921279212792,327,371,88.14016172506739,False,"12,13,51,114,115,126,129,146,316,317,318,342,343,344,381,382,388,390,398,415,520,648,656,660,674,675,681,682,699,700,725,749,750,774,776,777,784,788,799,800,801,802,813,825"
1800000,22,543,73.98523985239852,335,371,90.29649595687331,False,"12,13,51,114,115,126,129,146,316,317,318,342,343,344,381,382,388,390,398,415,520,656,660,681,682,774,776,777,784,788,799,800,801,802,813,825"
1850000,23,565,76.66051660516605,342,371,92.18328840970351,False,"3,4,29,30,146,305,316,317,318,342,343,344,381,382,398,511,520,656,660,663,681,682,774,784,788,799,800,813,825"
1900000,23,565,76.66051660516605,342,371,92.18328840970351,False,"3,4,29,30,146,305,316,317,318,342,343,344,381,382,398,511,520,656,660,663,681,682,774,784,788,799,800,813,825"
1950000,24,591,79.33579335793358,347,371,93.53099730458221,False,"3,4,29,30,146,305,316,317,318,342,343,344,388,390,398,415,520,774,784,788,799,800,813,825"
2000000,25,616,81.91881918819189,349,371,94.07008086253369,False,"3,4,29,30,146,305,316,317,318,342,343,344,388,390,398,415,520,774,784,799,800,825"
2050000,25,616,81.91881918819189,349,371,94.07008086253369,False,"3,4,29,30,146,305,316,317,318,342,343,344,388,390,398,415,520,774,784,799,800,825"
2100000,26,638,84.44034440344403,356,371,95.95687331536388,False,"3,4,29,30,146,305,398,511,520,663,774,784,799,800,825"
2150000,26,638,84.44034440344403,356,371,95.95687331536388,False,"3,4,29,30,146,305,398,511,520,663,774,784,799,800,825"
2200000,27,659,86.65436654366545,360,371,97.03504043126685,False,"3,4,29,30,146,305,398,511,520,663,784"
2250000,28,682,88.83763837638377,360,371,97.03504043126685,False,"3,4,29,30,305,388,390,398,415,520,784"
2300000,28,681,88.83763837638377,361,371,97.30458221024259,False,"3,4,29,30,305,398,511,520,663,784"
2350000,29,705,90.86715867158671,360,371,97.03504043126685,False,"3,4,29,30,305,388,390,398,415,520,784"
2400000,30,727,92.80442804428044,361,371,97.30458221024259,False,"3,4,29,30,305,398,511,520,663,784"
2450000,30,728,92.80442804428044,360,371,97.03504043126685,False,"3,4,29,30,305,388,390,398,415,520,784"
2500000,31,742,94.64944649446494,366,371,98.6522911051213,False,"398,511,520,663,784"
2550000,31,742,94.64944649446494,366,371,98.6522911051213,False,"398,511,520,663,784"
2600000,32,757,96.21771217712177,368,371,99.19137466307278,False,"636,663,784"
2650000,33,772,97.69372693726937,369,371,99.46091644204851,False,"636,663"
2700000,33,772,97.69372693726937,369,371,99.46091644204851,False,"636,663"
2750000,34,786,99.0159901599016,370,371,99.73045822102426,False,520
2800000,35,796,100.0,371,371,100.0,True,
2850000,35,796,100.0,371,371,100.0,True,
2900000,36,796,100.0,371,371,100.0,True,
2950000,36,796,100.0,371,371,100.0,True,
3000000,37,796,100.0,371,371,100.0,True,
